period_date,provider_org_code,provider_org_name,elective_ga_ordinary_admissions_ffces,elective_ga_daycase_admissions_ffces,elective_ga_total_admissions_ffces,elective_ga_planned_ordinary_admissions_ffces,elective_ga_planned_daycase_admissions_ffces,elective_ga_planned_total_admissions_ffces,elective_ga_admissions_ffces_nhs_treatment_centres_tcs,total_nonelective_ga_admissions_ffces,gp_referrals_made_all_specialties,gp_referrals_seen_all_specialties,gp_referrals_made_ga,gp_referrals_seen_ga,other_referrals_made_ga,all_1st_outpatient_attendances_ga
2012-11-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,8,8,0,0,0,0
2012-12-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,2,7,0,0,0,0
2013-01-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,9,8,0,0,0,0
2013-02-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,2,4,0,0,0,0
2013-03-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,2,4,0,0,0,0
2013-04-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,15,14,0,0,0,0
2013-05-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,14,16,0,0,0,0
2013-06-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,3,9,0,0,0,0
2013-07-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,6,7,0,0,0,0
2013-08-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,7,6,0,0,0,0
2013-09-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,5,4,0,0,0,0
2013-10-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,5,9,0,0,0,0
2013-11-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,11,7,0,0,0,0
2013-12-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,5,7,0,0,0,0
2014-01-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,5,12,0,0,0,0
2014-02-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,9,8,0,0,0,0
2014-03-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,5,5,0,0,0,0
2014-04-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,8,6,0,0,0,0
2014-05-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,14,5,0,0,0,0
2014-06-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,6,11,0,0,0,0
2014-07-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,9,12,0,0,0,0
2014-08-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,12,5,0,0,0,0
2014-09-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,6,8,0,0,0,0
2014-10-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,5,8,0,0,0,0
2014-11-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,10,5,0,0,0,0
2014-12-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,12,10,0,0,0,0
2015-01-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,30,7,0,0,0,0
2015-02-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,101,10,0,0,0,0
2015-03-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,71,32,0,0,0,0
2015-04-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,21,11,0,0,0,0
2015-05-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,7,12,0,0,0,0
2015-06-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,16,11,0,0,0,0
2015-07-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,10,10,0,0,0,0
2015-08-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,6,17,0,0,0,0
2015-09-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,2,3,0,0,0,0
2015-10-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,5,9,0,0,0,0
2015-11-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,5,3,0,0,0,0
2015-12-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,11,9,0,0,0,0
2016-01-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,872,595,0,0,0,0
2016-02-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,831,502,0,0,0,0
2016-04-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,85,42,0,0,0,0
2016-05-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,76,55,0,0,0,0
2016-06-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,69,50,0,0,0,0
2016-07-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,62,54,0,0,0,0
2016-08-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,70,39,0,0,0,0
2016-09-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,59,43,0,0,0,0
2016-10-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,59,43,0,0,0,0
2016-11-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,56,56,0,0,0,0
2016-12-01,RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2012-04-01,NTF01,ABBEY GISBURNE PARK HOSPITAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,697,2761,3458,99,467,566,0,2786,4932,3515,4932,3515,3210,6997
2012-02-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,714,2437,3151,98,686,784,0,2367,4358,3139,4358,3139,2958,6303
2012-03-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,763,2728,3491,122,799,921,0,2650,4411,3119,4411,3119,2825,6137
2012-04-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,708,2381,3089,132,399,531,0,2674,4112,2897,4112,2897,2867,5796
2012-05-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,818,3019,3837,114,382,496,0,2812,4972,3885,4972,3885,3266,7462
2012-06-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,657,2307,2964,96,279,375,0,2845,4087,2844,4087,2844,2608,5551
2012-07-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,733,2717,3450,129,313,442,0,2842,4761,3521,4761,3521,3001,6873
2012-08-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,646,2783,3429,70,366,436,0,2882,4748,3269,4748,3269,2758,6288
2012-09-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,679,2530,3209,75,423,498,0,2772,4539,3370,4539,3370,2815,6284
2012-10-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,820,2892,3712,112,406,518,0,2998,5017,4056,5017,4056,3243,7259
2012-11-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,778,2934,3712,105,460,565,0,2799,4506,3718,4506,3718,3192,6914
2012-12-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,612,2346,2958,76,336,412,0,2796,3469,2944,3469,2944,2612,5776
2013-01-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,730,3052,3782,176,945,1121,0,2787,4744,3779,4744,3779,3495,7674
2013-02-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,747,2677,3424,145,828,973,0,2494,4364,3418,4364,3418,2911,6719
2013-03-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,787,2983,3770,160,837,997,0,2849,4784,3903,4784,3903,3019,7509
2013-04-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,723,2782,3505,121,780,901,0,2551,4706,3303,4706,3303,3191,6654
2013-05-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,827,2816,3643,138,831,969,0,2558,4414,3547,4414,3547,3033,6902
2013-06-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,778,2731,3509,156,815,971,0,2550,4231,3334,4231,3334,2923,6641
2013-07-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,789,3043,3832,152,942,1094,0,2731,5093,3900,5093,3900,3423,7713
2013-08-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,717,2638,3355,158,906,1064,0,2690,4102,3273,4102,3273,2916,6474
2013-09-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,793,2774,3567,161,846,1007,0,2555,4436,3731,4436,3731,3006,7256
2013-10-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,850,2908,3758,157,888,1045,0,2761,4771,3912,4771,3912,3327,7539
2013-11-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,806,2932,3738,168,842,1010,0,2527,4581,3808,4581,3808,3140,7088
2013-12-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,631,2479,3110,120,820,940,0,2714,3744,3099,3744,3099,2847,6123
2014-01-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,620,3125,3745,140,948,1088,0,3425,5287,4008,5287,4008,3472,7995
2014-02-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,711,2939,3650,143,877,1020,0,3171,4949,4180,4949,4180,3162,8018
2014-03-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,793,3416,4209,161,1020,1181,0,3691,6115,5147,6115,5147,3572,9358
2014-04-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,716,2801,3517,135,868,1003,0,2753,4583,3553,4583,3553,3186,6907
2014-05-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,713,2801,3514,134,935,1069,0,2741,4801,3486,4801,3486,3230,6954
2014-06-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,702,2945,3647,138,942,1080,0,2733,4865,3638,4865,3638,3101,7204
2014-07-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,825,3276,4101,136,1050,1186,0,2786,5183,4295,5183,4295,3457,8372
2014-08-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,709,2759,3468,129,844,973,0,2701,4485,3166,4485,3166,3005,6371
2014-09-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,766,3123,3889,144,983,1127,0,2938,5138,4128,5138,4128,3315,8198
2014-10-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,751,3229,3980,143,998,1141,0,3523,5672,4526,5672,4526,3493,8606
2014-11-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,791,3016,3807,154,918,1072,0,3402,4507,4469,4507,4469,3178,8105
2014-12-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,680,2802,3482,135,905,1040,0,3587,4524,4060,4524,4060,3205,7581
2015-01-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,556,3184,3740,126,1036,1162,0,3561,5853,4250,5853,4250,3833,8362
2015-02-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,707,3403,4110,185,1134,1319,0,3574,5793,4633,5793,4633,3994,8734
2015-03-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,791,3196,3987,216,1059,1275,0,3520,5808,4403,5808,4403,4340,8494
2015-04-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,673,2890,3563,145,852,997,0,3396,5570,4175,5570,4175,4048,8140
2015-05-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,701,3017,3718,153,926,1079,0,3462,5313,3992,5313,3992,3792,7719
2015-06-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,795,3428,4223,168,1035,1203,0,3195,5845,4789,5845,4789,4056,9252
2015-07-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,839,3585,4424,197,1155,1352,0,3203,6044,4550,6044,4550,4254,8665
2015-08-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,690,3044,3734,144,921,1065,0,3031,5451,3926,5451,3926,3497,7404
2015-09-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,715,3462,4177,158,1086,1244,0,3043,6368,4875,6368,4875,4330,9490
2015-10-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,767,3485,4252,170,1071,1241,0,3107,5931,4905,5931,4905,4126,9114
2015-11-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,747,3370,4117,189,1068,1257,0,3106,5825,4681,5825,4681,3908,8685
2015-12-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,700,3117,3817,162,1052,1214,0,3175,5334,4150,5334,4150,3986,8021
2016-01-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,568,3903,4471,114,971,1085,0,3225,5130,4288,5130,4288,3847,8605
2016-02-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,596,3614,4210,129,868,997,0,3113,4803,3839,4803,3839,3605,7608
2016-03-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,760,4139,4899,115,1067,1182,0,3764,5670,4478,5670,4478,4279,8987
2016-04-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,684,3171,3855,167,1020,1187,0,3377,5666,3715,5666,3715,3853,7275
2016-05-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,672,3291,3963,142,1035,1177,0,3499,5720,4331,5720,4331,3709,8238
2016-06-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,677,3520,4197,141,946,1087,0,3357,5673,4590,5673,4590,3813,8806
2016-07-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,672,3403,4075,169,979,1148,0,3429,5326,3988,5326,3988,3713,7878
2016-08-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,637,3576,4213,143,908,1051,0,3215,5313,4170,5313,4170,3717,7976
2016-09-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,623,3597,4220,127,870,997,0,3207,5516,4537,5516,4537,3883,8630
2016-10-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,685,3714,4399,140,963,1103,0,3068,5169,4467,5169,4467,3760,8494
2016-11-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,737,4078,4815,133,968,1101,0,3007,5323,4720,5323,4720,4003,8938
2016-12-01,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,584,3659,4243,123,899,1022,0,3142,4538,3888,4538,3888,3716,7467
2012-01-01,RCF,AIREDALE NHS FOUNDATION TRUST,220,2162,2382,20,133,153,0,1264,3262,3326,2959,2918,863,4219
2012-02-01,RCF,AIREDALE NHS FOUNDATION TRUST,265,1973,2238,20,124,144,0,1268,3081,3085,2849,2701,822,3827
2012-03-01,RCF,AIREDALE NHS FOUNDATION TRUST,257,1992,2249,12,128,140,0,1358,3122,2487,2879,2304,925,3430
2012-04-01,RCF,AIREDALE NHS FOUNDATION TRUST,226,1828,2054,35,671,706,0,1273,2883,1685,2627,1345,1062,3318
2012-05-01,RCF,AIREDALE NHS FOUNDATION TRUST,305,2074,2379,27,767,794,0,1335,3251,2035,3040,1670,1328,4192
2012-06-01,RCF,AIREDALE NHS FOUNDATION TRUST,270,1884,2154,29,707,736,0,1279,2859,1571,2585,1268,1090,3071
2012-07-01,RCF,AIREDALE NHS FOUNDATION TRUST,306,1980,2286,32,702,734,0,1380,3041,1851,2776,1486,1157,3678
2012-08-01,RCF,AIREDALE NHS FOUNDATION TRUST,287,2072,2359,31,746,777,0,1339,2858,1743,2608,1525,1166,3651
2012-09-01,RCF,AIREDALE NHS FOUNDATION TRUST,269,1943,2212,36,632,668,0,1262,2747,1708,2492,1516,1183,3714
2012-10-01,RCF,AIREDALE NHS FOUNDATION TRUST,288,2181,2469,49,720,769,0,1414,3164,2020,2887,1640,1250,4140
2012-11-01,RCF,AIREDALE NHS FOUNDATION TRUST,313,2039,2352,41,477,518,0,1478,3397,3020,3153,2689,1044,3816
2012-12-01,RCF,AIREDALE NHS FOUNDATION TRUST,229,1691,1920,14,123,137,0,1546,2832,2822,2590,2516,960,3641
2013-01-01,RCF,AIREDALE NHS FOUNDATION TRUST,242,2346,2588,6,173,179,0,1931,3428,2946,3164,2532,1050,3458
2013-02-01,RCF,AIREDALE NHS FOUNDATION TRUST,199,2043,2242,8,130,138,0,1844,3127,2817,2894,2450,933,3242
2013-03-01,RCF,AIREDALE NHS FOUNDATION TRUST,292,2176,2468,10,127,137,0,1853,3298,2656,3066,2297,1133,3192
2013-04-01,RCF,AIREDALE NHS FOUNDATION TRUST,243,2031,2274,15,102,117,0,1633,3209,2607,2989,2230,958,3196
2013-05-01,RCF,AIREDALE NHS FOUNDATION TRUST,295,2063,2358,24,141,165,0,1639,3262,2626,3017,2240,1043,3276
2013-06-01,RCF,AIREDALE NHS FOUNDATION TRUST,269,1920,2189,15,131,146,0,1614,3037,2539,2819,2173,1154,3208
2013-07-01,RCF,AIREDALE NHS FOUNDATION TRUST,328,2244,2572,24,113,137,0,1660,3516,2920,3216,2520,1235,3692
2013-08-01,RCF,AIREDALE NHS FOUNDATION TRUST,239,2008,2247,8,125,133,0,1621,3041,2425,2801,2108,1091,3035
2013-09-01,RCF,AIREDALE NHS FOUNDATION TRUST,263,2011,2274,18,98,116,0,1598,2997,2621,2779,2272,1146,3206
2013-10-01,RCF,AIREDALE NHS FOUNDATION TRUST,281,2250,2531,10,150,160,0,1790,3519,3134,3266,2709,1142,3831
2013-11-01,RCF,AIREDALE NHS FOUNDATION TRUST,279,2105,2384,18,139,157,0,1762,3231,2866,3026,2532,1049,3436
2013-12-01,RCF,AIREDALE NHS FOUNDATION TRUST,243,1947,2190,11,128,139,0,1881,3001,2400,2788,2076,984,2911
2014-01-01,RCF,AIREDALE NHS FOUNDATION TRUST,268,2248,2516,10,166,176,0,1829,3339,2610,3071,2226,940,3103
2014-02-01,RCF,AIREDALE NHS FOUNDATION TRUST,246,2264,2510,17,141,158,0,1722,3153,2462,2944,2085,915,2916
2014-03-01,RCF,AIREDALE NHS FOUNDATION TRUST,235,2662,2897,12,148,160,0,1889,3631,2353,3392,2171,1174,2900
2014-04-01,RCF,AIREDALE NHS FOUNDATION TRUST,253,2163,2416,7,115,122,0,1846,3223,2692,2999,2338,1042,3280
2014-05-01,RCF,AIREDALE NHS FOUNDATION TRUST,251,2173,2424,12,122,134,0,1835,3335,2568,3098,2204,1028,3055
2014-06-01,RCF,AIREDALE NHS FOUNDATION TRUST,235,2119,2354,15,120,135,0,1798,3507,2819,3241,2406,1123,3454
2014-07-01,RCF,AIREDALE NHS FOUNDATION TRUST,280,2369,2649,10,160,170,0,1833,3433,2655,3189,2298,1135,3243
2014-08-01,RCF,AIREDALE NHS FOUNDATION TRUST,252,2171,2423,17,116,133,0,1634,2949,2332,2752,2008,945,2868
2014-09-01,RCF,AIREDALE NHS FOUNDATION TRUST,228,2316,2544,11,142,153,0,1753,3462,2858,3205,2451,1021,3475
2014-10-01,RCF,AIREDALE NHS FOUNDATION TRUST,241,2214,2455,15,128,143,0,1591,3116,2464,2925,2178,1035,3034
2014-11-01,RCF,AIREDALE NHS FOUNDATION TRUST,238,2226,2464,16,149,165,0,1741,3015,2580,2780,2230,932,3063
2014-12-01,RCF,AIREDALE NHS FOUNDATION TRUST,188,2264,2452,23,131,154,0,1960,3130,2766,2894,2364,1030,3299
2015-01-01,RCF,AIREDALE NHS FOUNDATION TRUST,270,2322,2592,28,159,187,0,1763,3197,2539,2957,2216,1e3,3059
2015-02-01,RCF,AIREDALE NHS FOUNDATION TRUST,259,2518,2777,15,126,141,0,1778,3120,2647,2955,2267,1023,3191
2015-03-01,RCF,AIREDALE NHS FOUNDATION TRUST,232,2467,2699,19,133,152,0,1909,3406,2661,3164,2301,989,3111
2015-04-01,RCF,AIREDALE NHS FOUNDATION TRUST,255,2282,2537,15,148,163,0,1899,3251,2549,3030,2249,1064,3167
2015-05-01,RCF,AIREDALE NHS FOUNDATION TRUST,261,2255,2516,20,134,154,0,1725,3130,2323,2928,2043,1038,2913
2015-06-01,RCF,AIREDALE NHS FOUNDATION TRUST,269,2525,2794,14,150,164,0,1828,3557,2914,3320,2545,1107,3536
2015-07-01,RCF,AIREDALE NHS FOUNDATION TRUST,292,2693,2985,23,153,176,0,1737,3741,2735,3509,2417,1072,3497
2015-08-01,RCF,AIREDALE NHS FOUNDATION TRUST,251,2262,2513,15,154,169,0,1608,2986,2226,2769,1927,987,2742
2015-09-01,RCF,AIREDALE NHS FOUNDATION TRUST,261,2521,2782,20,165,185,0,1676,3226,2835,3004,2443,1043,3481
2015-10-01,RCF,AIREDALE NHS FOUNDATION TRUST,295,2579,2874,16,155,171,0,1851,3392,2737,3154,2386,1046,3355
2015-11-01,RCF,AIREDALE NHS FOUNDATION TRUST,249,2473,2722,15,131,146,0,1847,3457,2751,3232,2394,960,3244
2015-12-01,RCF,AIREDALE NHS FOUNDATION TRUST,274,2589,2863,22,169,191,0,1883,3307,2663,3103,2313,976,3122
2016-01-01,RCF,AIREDALE NHS FOUNDATION TRUST,242,2479,2721,11,171,182,0,1930,3278,2511,3066,2229,963,3092
2016-02-01,RCF,AIREDALE NHS FOUNDATION TRUST,221,2377,2598,9,166,175,0,1748,3110,2258,2920,2058,942,2806
2016-03-01,RCF,AIREDALE NHS FOUNDATION TRUST,288,2631,2919,23,177,200,0,2032,3848,2734,3629,2441,1028,3418
2016-04-01,RCF,AIREDALE NHS FOUNDATION TRUST,258,2386,2644,11,121,132,0,1802,3317,2415,3118,2018,1077,2952
2016-05-01,RCF,AIREDALE NHS FOUNDATION TRUST,225,2327,2552,9,157,166,0,1850,3082,2515,2903,2141,1114,3118
2016-06-01,RCF,AIREDALE NHS FOUNDATION TRUST,273,2441,2714,20,152,172,0,1737,3331,2742,3123,2413,1100,3381
2016-07-01,RCF,AIREDALE NHS FOUNDATION TRUST,252,2360,2612,15,158,173,0,1885,2973,2506,2785,2128,1005,3001
2016-08-01,RCF,AIREDALE NHS FOUNDATION TRUST,246,2518,2764,15,162,177,0,1818,3165,2537,2927,2147,1118,3117
2016-09-01,RCF,AIREDALE NHS FOUNDATION TRUST,250,2336,2586,13,152,165,0,1750,3110,2593,2906,2225,1018,3221
2016-10-01,RCF,AIREDALE NHS FOUNDATION TRUST,253,2360,2613,9,173,182,0,1857,3278,2673,3078,2260,971,3112
2016-11-01,RCF,AIREDALE NHS FOUNDATION TRUST,299,2516,2815,7,150,157,0,1869,3366,2746,3178,2423,1003,3369
2016-12-01,RCF,AIREDALE NHS FOUNDATION TRUST,242,2342,2584,9,115,124,0,1911,3190,2505,3022,2137,963,2957
